"data_id","language","form","age","gender","mom_ed","comprehension","production"
32880,"Russian","WG",15,"Female",NA,240,212
32881,"Russian","WG",15,"Female",NA,369,9
32882,"Russian","WG",15,"Male",NA,342,15
32883,"Russian","WG",15,"Male",NA,113,20
32884,"Russian","WG",15,"Male",NA,323,42
32885,"Russian","WG",15,"Female",NA,215,27
32886,"Russian","WG",15,"Female",NA,162,6
32887,"Russian","WG",15,"Male",NA,282,20
32888,"Russian","WG",15,"Female",NA,381,9
32889,"Russian","WG",15,"Female",NA,193,23
32890,"Russian","WG",15,"Female",NA,165,24
32891,"Russian","WG",15,"Female",NA,154,40
32892,"Russian","WG",15,"Female",NA,328,32
32893,"Russian","WG",15,"Female",NA,343,39
32894,"Russian","WG",15,"Male",NA,309,29
32895,"Russian","WG",15,"Female",NA,294,31
32896,"Russian","WG",15,"Female",NA,330,18
32897,"Russian","WG",15,"Male",NA,202,32
32898,"Russian","WG",15,"Male",NA,235,10
32899,"Russian","WG",15,"Female",NA,422,122
32900,"Russian","WG",15,"Male",NA,220,35
32901,"Russian","WG",15,"Female",NA,302,63
32902,"Russian","WG",15,"Female",NA,241,23
32903,"Russian","WG",15,"Female",NA,167,14
32904,"Russian","WG",15,"Male",NA,134,14
32905,"Russian","WG",15,"Female",NA,356,80
32906,"Russian","WG",15,"Male",NA,164,17
32907,"Russian","WG",15,"Male",NA,250,17
32908,"Russian","WG",15,"Male",NA,144,15
32909,"Russian","WG",15,"Male",NA,200,16
32910,"Russian","WG",15,"Female",NA,257,22
32911,"Russian","WG",15,"Male",NA,192,0
32912,"Russian","WG",15,"Male",NA,337,154
32913,"Russian","WG",15,"Female",NA,310,37
32914,"Russian","WG",15,"Female",NA,263,13
32915,"Russian","WG",15,"Male",NA,256,24
32916,"Russian","WG",15,"Female",NA,257,58
32917,"Russian","WG",15,"Female",NA,231,10
32918,"Russian","WG",15,"Male",NA,332,29
32919,"Russian","WG",15,"Male",NA,203,10
32920,"Russian","WG",15,"Male",NA,129,20
32921,"Russian","WG",15,"Female",NA,364,176
32922,"Russian","WG",15,"Male",NA,163,1
32923,"Russian","WG",15,"Male",NA,147,11
32924,"Russian","WG",15,"Male",NA,111,0
32925,"Russian","WG",15,"Female",NA,203,38
32926,"Russian","WG",15,"Female",NA,247,8
32927,"Russian","WG",16,"Male",NA,310,16
32928,"Russian","WG",16,"Male",NA,202,23
32929,"Russian","WG",16,"Female",NA,228,18
32930,"Russian","WG",16,"Male",NA,203,5
32931,"Russian","WG",16,"Male",NA,197,29
32932,"Russian","WG",16,"Female",NA,191,46
32933,"Russian","WG",16,"Female",NA,306,54
32934,"Russian","WG",16,"Male",NA,211,44
32935,"Russian","WG",16,"Male",NA,260,13
32936,"Russian","WG",16,"Male",NA,165,16
32937,"Russian","WG",16,"Female",NA,217,12
32938,"Russian","WG",16,"Female",NA,158,11
32939,"Russian","WG",16,"Male",NA,194,1
32940,"Russian","WG",16,"Male",NA,98,40
32941,"Russian","WG",16,"Female",NA,240,15
32942,"Russian","WG",16,"Male",NA,289,25
32943,"Russian","WG",16,"Male",NA,342,17
32944,"Russian","WG",16,"Female",NA,380,197
32945,"Russian","WG",16,"Female",NA,369,323
32946,"Russian","WG",16,"Male",NA,281,33
32947,"Russian","WG",16,"Male",NA,298,3
32948,"Russian","WG",16,"Female",NA,194,19
32949,"Russian","WG",16,"Male",NA,234,6
32950,"Russian","WG",16,"Male",NA,295,24
32951,"Russian","WG",16,"Female",NA,216,41
32952,"Russian","WG",16,"Female",NA,196,21
32953,"Russian","WG",16,"Female",NA,288,54
32954,"Russian","WG",16,"Male",NA,185,51
32955,"Russian","WG",16,"Female",NA,184,18
32956,"Russian","WG",16,"Female",NA,142,29
32957,"Russian","WG",16,"Male",NA,225,88
